Column,Data Type,Missing Values,Missing Percentage,Unique Values,Min,Max,Mean,Most Common Value,Most Common Count
id,object,0,0.0,51637,,,,c:9998,1.0
Unnamed: 0.1,int64,0,0.0,51637,0.0,196552.0,105191.2233863315,,
entity_type,object,0,0.0,1,,,,Company,51637.0
entity_id,int64,0,0.0,51637,1.0,286215.0,113994.96618703642,,
parent_id,float64,51637,100.0,0,,,,,
name,object,2,0.0038731917036233707,51631,,,,eHealth Technologies,2.0
normalized_name,object,2,0.0038731917036233707,51504,,,,zettics,3.0
permalink,object,0,0.0,51636,,,,/company/flighthike,2.0
category_code,object,4313,8.3525379088638,42,,,,software,7642.0
status,object,0,0.0,4,,,,operating,44388.0
founded_at,datetime64[ns],13012,25.19898522377365,3813,,,,2011-01-01 00:00:00,1734.0
closed_at,datetime64[ns],50258,97.32943432035168,602,,,,2013-06-01 00:00:00,96.0
domain,object,2292,4.438677692352383,49029,,,,gust.com,6.0
homepage_url,object,2292,4.438677692352383,49178,,,,http://www.dachisgroup.com,5.0
twitter_username,object,19795,38.33491488661232,31515,,,,dachisgroup,5.0
logo_url,object,5248,10.163255030307724,46389,,,,http://s3.amazonaws.com/crunchbase_prod_assets/assets/images/resized/0002/4129/24129v2-max-250x250.png,1.0
logo_width,float64,5248,10.163255030307724,2480,1.0,17472.0,446.12009312552544,,
logo_height,float64,5248,10.163255030307724,1538,1.0,9600.0,203.26353230291664,,
short_description,object,46808,90.64817863160137,4828,,,,American Kidney Stone Management provides lithotripsy,2.0
description,object,18190,35.22667854445456,30782,,,,Garage Door Repair/Replacement,140.0
overview,object,1298,2.513701415651568,50286,,,,We,15.0
tag_list,object,22782,44.11952669597382,27954,,,,"garage-door-springs, broken-spring-repair--replacement, torsion-spring-extension-springs, garage-door-opener, garage-door-remote, garage-door-sensors, garage-door-replacement--installation",204.0
country_code,object,0,0.0,1,,,,USA,51637.0
state_code,object,975,1.888180955516393,51,,,,CA,16447.0
city,object,1453,2.813873772682379,4311,,,,New York,3809.0
region,object,0,0.0,1812,,,,SF Bay,10062.0
first_investment_at,datetime64[ns],50886,98.54561651528942,549,,,,2010-01-01 00:00:00,10.0
last_investment_at,datetime64[ns],50886,98.54561651528942,522,,,,2010-01-01 00:00:00,8.0
investment_rounds,float64,50884,98.54174332358579,36,1.0,478.0,4.258964143426295,,
invested_companies,float64,50884,98.54174332358579,32,1.0,459.0,3.851261620185923,,
first_funding_at,datetime64[ns],32004,61.97881364138118,2841,,,,2008-01-01 00:00:00,199.0
last_funding_at,datetime64[ns],32004,61.97881364138118,2537,,,,2008-01-01 00:00:00,138.0
funding_rounds,float64,31905,61.78709065205182,14,1.0,14.0,1.833772552199473,,
funding_total_usd,float64,33495,64.8662780564324,6182,291.0,5700000000.0,17119856.20901775,,
first_milestone_at,datetime64[ns],24967,48.35098863218235,2800,,,,2012-01-01 00:00:00,1046.0
last_milestone_at,datetime64[ns],24967,48.35098863218235,2636,,,,2012-01-01 00:00:00,938.0
milestones,float64,24967,48.35098863218235,9,1.0,9.0,1.456655418072741,,
relationships,float64,13475,26.09562910316246,143,1.0,1189.0,4.9485613961532415,,
created_by,object,13159,25.48366481398997,15641,,,,timircha,3925.0
created_at,datetime64[ns],0,0.0,50979,,,,2008-02-05 22:28:18,6.0
updated_at,datetime64[ns],0,0.0,51506,,,,2011-12-01 07:41:19,3.0
lat,float64,1457,2.8216201560896255,3358,-50.9423262,77.553604,38.185502904113186,,
lng,float64,1457,2.8216201560896255,3355,-159.4977455,174.885971,-95.49160161260662,,
ROI,float64,51057,98.87677440594922,528,0.0111111111111,13333.3333333,40.481319781804736,,
